,Unnamed: 0,Ram,Storage,Battery,Price,Brand,Color,Front_cam,Rear_cam,display,Display_type
314,314,4,64,55,9999,9,0,2.0,13.0,6.51,2
315,315,4,64,55,12999,9,1,8.0,13.0,6.52,2
316,316,4,64,55,12999,9,10,8.0,13.0,6.52,2
317,317,8,128,49,17999,9,10,8.0,64.0,6.4,2
318,318,8,128,49,19999,9,9,2.0,64.0,6.5,2
319,319,6,128,49,17999,9,1,2.0,64.0,6.5,2
320,320,3,32,19,8999,9,1,2.0,13.0,6.1,2
321,321,3,32,19,8999,9,0,2.0,13.0,6.1,2
322,322,4,64,19,17999,9,8,8.0,64.0,6.4,2
323,323,8,128,19,20999,9,8,8.0,64.0,6.4,2
324,324,4,64,55,10499,9,1,8.0,48.0,6.52,2
325,325,8,128,49,19999,9,1,2.0,64.0,6.5,2
326,326,4,128,55,11499,9,1,8.0,48.0,6.52,2
327,327,4,128,55,11499,9,10,8.0,48.0,6.52,2
328,328,6,128,49,17999,9,9,2.0,64.0,6.5,2
329,329,8,128,37,26999,9,1,8.0,50.0,6.4,0
330,330,3,32,19,8999,9,0,2.0,13.0,6.1,2
331,331,4,64,55,10499,9,10,8.0,48.0,6.52,2
332,332,4,128,17,17999,9,11,5.0,48.0,6.53,2
333,333,8,128,49,20999,9,0,2.0,108.0,6.72,2
334,334,12,256,37,29999,9,10,8.0,64.0,6.43,2
335,335,4,64,34,13999,9,11,8.0,64.0,6.5,2
336,336,8,128,49,20999,9,0,2.0,108.0,6.72,2
337,337,4,64,34,13999,9,11,8.0,64.0,6.5,2
338,338,8,128,37,16999,9,0,8.0,48.0,6.5,2
339,339,4,64,55,10499,9,1,8.0,48.0,6.52,2
340,340,6,64,34,17999,9,1,12.0,64.0,6.6,2
341,341,12,256,37,29999,9,0,8.0,64.0,6.43,2
342,342,8,128,37,16999,9,11,8.0,48.0,6.5,2
343,343,6,64,37,14999,9,11,8.0,48.0,6.5,2
344,344,12,256,37,29999,9,10,8.0,64.0,6.43,2
345,345,6,128,49,21990,9,0,8.0,48.0,6.4,1
346,346,12,256,37,29999,9,0,8.0,64.0,6.43,2
347,347,8,128,35,21999,9,10,8.0,64.0,6.43,2
348,348,8,128,35,21999,9,0,8.0,64.0,6.43,2
349,349,4,128,49,11999,9,6,2.0,50.0,6.5,2
350,350,4,64,49,11849,9,5,8.0,64.0,6.5,2
351,351,4,64,49,11849,9,1,8.0,64.0,6.5,2
352,352,8,128,19,20999,9,8,8.0,64.0,6.4,2
353,353,6,128,19,19999,9,8,8.0,64.0,6.4,2
354,354,4,128,49,14249,9,5,8.0,64.0,6.5,2
355,355,8,128,37,26999,9,10,8.0,64.0,6.43,2
356,356,8,128,37,26999,9,0,8.0,64.0,6.43,2
357,357,3,32,49,10999,9,10,2.0,12.0,6.5,2
358,358,8,128,37,19999,9,0,8.0,108.0,6.4,2
359,359,6,64,19,29999,9,11,13.0,64.0,6.5,2
360,360,8,128,30,27999,9,11,12.0,64.0,6.57,2
361,361,8,128,30,27999,9,1,12.0,64.0,6.57,2
362,362,3,32,49,10999,9,1,2.0,12.0,6.5,2
363,363,4,128,49,12999,9,1,8.0,48.0,6.5,2
364,364,4,64,19,16999,9,8,8.0,64.0,6.4,1
365,365,6,128,37,17999,9,1,8.0,108.0,6.4,2
366,366,4,64,49,11999,9,10,2.0,12.0,6.5,2
367,367,4,64,49,9499,9,11,2.0,12.0,6.52,2
368,368,12,256,19,35999,9,11,13.0,64.0,6.5,2
369,369,8,128,19,31999,9,11,13.0,64.0,6.5,2
370,370,8,128,37,21999,9,0,8.0,64.0,6.4,2
371,371,6,64,37,14999,9,0,8.0,48.0,6.5,2
372,372,8,128,37,21999,9,1,8.0,64.0,6.4,2
373,373,6,128,37,19999,9,1,8.0,64.0,6.4,2
374,374,6,128,37,19999,9,0,8.0,64.0,6.4,2
375,375,3,64,31,9499,9,1,2.0,13.0,6.22,2
376,376,8,128,37,19999,9,12,8.0,108.0,6.4,2
377,377,4,128,49,11999,9,11,8.0,48.0,6.5,2
378,378,4,128,49,11999,9,1,8.0,48.0,6.5,2
379,379,3,32,31,9999,9,0,2.0,13.0,6.2,2
380,380,8,128,24,16999,9,11,8.0,48.0,6.3,2
381,381,8,128,37,26999,9,0,8.0,64.0,6.43,2
382,382,8,128,55,11898,10,7,8.0,50.0,6.7,1
383,383,8,128,55,11874,10,0,8.0,50.0,6.7,1
384,384,1,8,4,5999,10,0,8.0,8.0,6.5,1
385,385,4,64,49,10749,10,1,2.0,12.0,6.22,2
386,386,4,64,55,13990,10,0,8.0,8.0,6.5,1
387,387,1,16,4,5999,10,1,8.0,8.0,6.5,1
388,388,3,32,49,8190,10,0,8.0,13.0,6.53,2
389,389,8,128,32,23890,12,1,8.0,64.0,6.55,2
390,390,3,32,49,8190,10,1,8.0,13.0,6.53,2
391,391,6,128,39,33999,3,0,8.0,48.0,6.67,2
392,392,6,128,39,32980,3,11,8.0,48.0,6.67,2
393,393,6,128,49,11999,10,0,8.0,13.0,6.53,1
394,394,12,256,40,49990,12,0,8.0,50.0,6.73,0
395,395,6,128,37,24999,12,0,8.0,108.0,6.67,0
396,396,8,256,40,46490,12,0,8.0,50.0,6.73,0
397,397,6,128,49,19999,10,11,8.0,108.0,6.67,1
398,398,8,128,53,26999,12,9,8.0,108.0,6.67,0
399,399,8,256,49,27990,10,1,8.0,108.0,6.67,1
400,400,2,32,19,6999,10,4,8.0,12.0,5.45,2
401,401,6,128,32,23490,12,1,8.0,64.0,6.55,2
402,402,6,128,49,21999,10,1,8.0,108.0,6.67,1
403,403,4,64,19,13999,10,0,5.0,48.0,6.3,2
404,404,8,128,49,32980,12,0,8.0,108.0,6.67,1
405,405,6,128,32,21999,12,0,8.0,64.0,6.55,2
406,406,8,128,32,20990,3,0,8.0,64.0,6.55,2
407,407,2,32,19,6999,10,4,8.0,12.0,5.45,2
408,408,6,128,32,21999,12,0,8.0,64.0,6.55,2
409,409,8,128,49,32980,12,0,8.0,108.0,6.67,1
410,410,6,128,53,24999,12,8,8.0,108.0,6.67,0
411,411,4,64,8,13499,10,6,5.0,12.0,5.99,2
412,412,8,128,39,30999,3,11,8.0,48.0,6.67,2
413,413,8,256,40,46490,12,0,8.0,50.0,6.73,0
414,414,8,128,49,18900,10,0,8.0,108.0,6.43,1
415,415,6,128,37,24999,12,9,8.0,108.0,6.67,0
416,416,2,32,19,6999,10,1,8.0,12.0,5.45,2
417,417,3,64,4,10499,10,0,5.0,12.0,5.45,2
418,418,8,128,32,23999,3,0,8.0,64.0,6.55,2
419,419,6,128,53,24999,12,9,8.0,108.0,6.67,0
420,420,6,128,49,19999,10,11,8.0,108.0,6.67,1
421,421,12,256,49,39999,12,11,8.0,108.0,6.67,1
422,422,6,128,32,19950,3,0,8.0,64.0,6.55,2
423,423,4,64,19,14999,10,0,2.0,12.0,6.3,2
424,424,8,128,32,23999,3,1,8.0,64.0,6.55,2
425,425,4,64,49,10999,10,1,2.0,13.0,6.53,2
426,426,6,128,49,21990,10,1,8.0,108.0,6.67,1
427,427,6,128,53,24999,12,0,8.0,108.0,6.67,0
428,428,8,128,49,47999,3,0,13.0,108.0,6.67,2
429,429,8,256,49,34790,12,0,8.0,108.0,6.67,1
430,430,3,32,19,11999,10,0,5.0,48.0,6.3,2
431,431,3,32,4,8999,10,4,5.0,12.0,5.45,2
432,432,3,64,4,10499,10,1,5.0,12.0,5.45,2
433,433,4,64,49,10999,10,0,2.0,12.0,6.22,2
434,434,3,32,8,10499,10,1,5.0,12.0,5.99,2
435,435,4,64,19,11999,10,0,8.0,12.0,5.99,2
436,436,4,64,5,17499,3,4,12.0,20.0,5.99,2
437,437,6,64,19,16999,10,4,5.0,12.0,5.99,2
438,438,3,32,49,8999,10,11,2.0,13.0,6.22,2
439,439,4,64,19,15999,10,1,5.0,12.0,6.26,2
440,440,4,64,19,14999,10,4,5.0,12.0,5.99,2
441,441,3,64,49,9999,10,6,2.0,13.0,6.22,2
442,442,2,32,49,7999,10,0,8.0,12.0,6.22,2
443,443,3,32,19,11999,10,11,5.0,48.0,6.3,2
444,444,8,128,49,19399,10,1,8.0,50.0,6.6,1
445,445,2,32,19,6999,10,0,8.0,12.0,5.45,2
446,446,4,64,19,14999,10,0,5.0,12.0,5.99,2
447,447,2,16,4,6499,10,4,8.0,13.0,5.45,1
448,448,6,128,19,24999,10,8,13.0,48.0,6.39,2
449,449,4,128,51,16999,10,11,8.0,48.0,6.67,1
450,450,2,16,4,6499,10,0,8.0,13.0,5.45,1
451,451,6,64,19,16999,10,0,5.0,48.0,6.3,2
452,452,3,32,4,8999,10,1,5.0,12.0,5.45,2
453,453,8,128,49,37999,3,10,13.0,64.0,6.67,2
454,454,1,16,4,5999,10,0,8.0,8.0,6.5,1
455,455,3,32,19,12999,10,0,2.0,12.0,6.3,2
456,456,1,8,4,5999,10,1,8.0,8.0,6.5,1
457,457,4,64,19,13999,10,1,5.0,48.0,6.3,2
458,458,4,64,19,13999,10,11,5.0,48.0,6.3,2
459,459,3,32,9,6999,10,4,8.0,13.0,6.5,1
460,460,4,64,19,15999,10,0,5.0,12.0,6.26,2
461,461,6,64,19,17999,10,0,5.0,12.0,6.26,2
462,462,6,128,49,19699,10,0,8.0,50.0,6.6,1
463,463,3,32,19,12999,10,0,2.0,12.0,6.3,2
464,464,12,256,49,39999,12,11,8.0,108.0,6.67,1
465,465,4,64,19,15999,10,0,5.0,48.0,6.3,2
466,466,4,64,19,15999,10,1,5.0,48.0,6.3,2
467,467,6,128,39,23990,3,0,8.0,48.0,6.67,1
468,468,4,64,19,11999,10,4,8.0,12.0,5.99,2
469,469,2,16,19,6499,10,4,8.0,12.0,5.45,2
470,470,4,64,19,15999,10,0,5.0,12.0,6.26,2
471,471,6,64,19,16999,10,0,5.0,12.0,5.99,2
472,472,3,64,4,10499,10,4,5.0,12.0,5.45,2
473,473,3,32,28,8999,10,4,8.0,13.0,6.5,1
474,474,3,32,49,7650,10,5,8.0,13.0,6.53,1
475,475,2,32,49,6899,10,5,8.0,13.0,6.53,1
476,476,2,32,49,7195,10,2,8.0,13.0,6.53,1
477,477,3,32,49,7368,10,1,8.0,13.0,6.53,1
478,478,3,32,49,7185,10,2,8.0,13.0,6.53,1
479,479,2,32,49,7185,10,1,8.0,13.0,6.53,1
480,480,6,128,55,13996,10,0,8.0,8.0,6.5,1
481,481,6,128,32,20990,12,0,8.0,64.0,6.55,2
482,482,2,32,49,7299,10,5,8.0,13.0,6.53,2
483,483,8,128,49,19990,10,11,8.0,108.0,6.67,1
484,484,6,128,49,17490,10,0,8.0,108.0,6.67,1
485,485,6,128,49,17990,10,11,8.0,50.0,6.6,1
486,486,8,128,49,18880,10,11,8.0,50.0,6.6,1
487,487,6,128,49,20899,10,1,8.0,108.0,6.67,1
488,488,3,32,19,11999,10,0,5.0,48.0,6.3,2
489,489,8,128,32,23990,12,0,8.0,64.0,6.55,2
490,490,8,128,49,21995,10,11,8.0,108.0,6.67,1
491,491,6,128,49,18500,10,0,8.0,108.0,6.67,1
492,492,8,128,49,22945,10,1,8.0,108.0,6.67,1
493,493,8,128,37,26999,12,9,8.0,108.0,6.67,0
494,494,8,128,39,29990,3,10,8.0,108.0,6.67,2
495,495,8,128,37,26999,12,0,8.0,108.0,6.67,0
496,496,6,128,32,22490,0,0,8.0,64.0,6.55,1
497,497,8,128,49,21990,10,11,8.0,108.0,6.67,1
498,498,6,128,49,23990,10,0,8.0,108.0,6.67,1
499,499,6,128,32,21999,3,1,8.0,64.0,6.55,2
500,500,6,128,55,14998,10,1,8.0,8.0,6.5,1
501,501,8,128,49,18770,10,0,8.0,50.0,6.6,1
502,502,8,128,49,37999,3,0,13.0,64.0,6.67,2
503,503,3,32,4,8999,10,0,5.0,12.0,5.45,2
504,504,2,32,49,7999,10,0,8.0,12.0,6.22,2
505,505,3,32,49,7999,10,5,8.0,13.0,6.53,2
506,506,4,64,55,11299,10,11,8.0,8.0,6.5,1
507,507,2,16,19,6499,10,1,8.0,12.0,5.45,2
508,508,4,64,19,13999,10,0,5.0,48.0,6.3,2
509,509,12,256,49,39999,12,0,8.0,108.0,6.67,1
510,510,6,128,19,24999,10,1,13.0,48.0,6.39,2
511,511,3,32,49,8999,10,6,2.0,13.0,6.22,2
512,512,6,128,19,16999,10,0,5.0,48.0,6.3,2
