,Ram,Storage,Brand,Color,Display_Size,Display_Type,Front_Cam,Rear_Cam,Price
995,64 GB RO,64 GB ROM,apple,Purple,5.4,XDR,12,12,"₹49,999"
996,128 GB RO,128 GB ROM,apple,Green,6.1,XDR,12,12,"₹57,999"
998,32 GB RO,32 GB ROM,apple,Gold,4.7,HD,5,12,"₹29,990"
999,256 GB RO,256 GB ROM,apple,Gold,6.1,XDR,12,12,"₹88,199"
1000,32 GB RO,32 GB ROM,apple,Gold,4.7,HD,7,12,"₹31,500"
1007,128 GB RO,128 GB ROM,apple,Green,6.1,HD,12,12,"₹47,999"
1009,512 GB RO,512 GB ROM,apple,Silver,6.5,HD,7,12,"₹1,44,900"
1010,256 GB RO,256 GB ROM,apple,Black,5.5,HD,7,12,"₹85,400"
1011,256 GB RO,256 GB ROM,apple,Silver,5.8,XDR,12,12,"₹1,00,699"
1012,16 GB RO,16 GB ROM,apple,Gold,5.5,HD,5,12,"₹49,999"
1014,32 GB RO,32 GB ROM,apple,Black,4.7,HD,7,12,"₹31,500"
1015,256 GB RO,256 GB ROM,apple,Grey,5.8,XDR,12,12,"₹1,00,699"
1017,512 GB RO,512 GB ROM,apple,Grey,6.5,HD,7,12,"₹1,44,900"
1018,512 GB RO,512 GB ROM,apple,Silver,5.8,XDR,12,12,"₹1,40,300"
1022,512 GB RO,512 GB ROM,apple,Gold,5.8,XDR,12,12,"₹1,40,300"
1027,64 GB RO,64 GB ROM,apple,Gold,5.5,HD,5,12,"₹59,999"
1028,256 GB RO,256 GB ROM,apple,Purple,6.1,XDR,12,12,"₹66,999"
1030,32 GB RO,32 GB ROM,apple,Grey,5.5,HD,5,12,"₹34,900"
1033,64 GB RO,64 GB ROM,apple,Grey,4.7,HD,5,12,"₹49,999"
1034,16 GB RO,16 GB ROM,apple,Gold,4.7,HD,5,12,"₹31,999"
1035,128 GB RO,128 GB ROM,apple,Purple,5.4,XDR,12,12,"₹54,999"
1036,128 GB RO,128 GB ROM,apple,Gold,4.7,HD,2,8,"₹49,999"
1037,64 GB RO,64 GB ROM,apple,Silver,4.7,HD,5,12,"₹49,999"
1038,512 GB RO,512 GB ROM,apple,Blue,5.4,XDR,12,12,"₹89,999"
1040,32 GB RO,32 GB ROM,apple,Silver,5.5,HD,5,12,"₹34,900"
1041,64 GB RO,64 GB ROM,apple,Silver,5.5,HD,5,12,"₹59,999"
1042,128 GB RO,128 GB ROM,apple,Silver,6.1,XDR,12,12,"₹78,899"
1043,128 GB RO,128 GB ROM,apple,White,4.7,HD,7,12,"₹32,990"
1044,512 GB RO,512 GB ROM,apple,Blue,6.1,XDR,12,12,"₹1,25,999"
1045,64 GB RO,64 GB ROM,apple,Gold,5.5,HD,5,12,"₹59,999"
1046,256 GB RO,256 GB ROM,apple,Silver,6.1,XDR,12,12,"₹1,29,900"
